link,genero
https://www.letras.mus.br/ariana-grande/,pop
https://www.letras.mus.br/adele/,soul
https://www.letras.mus.br/arctic-monkeys/,indie
https://www.letras.mus.br/alok/,eletronica
https://www.letras.mus.br/avril-lavigne/,pop rock
https://www.letras.mus.br/alan-walker/,eletronica
https://www.letras.mus.br/avicii/,eletronica
https://www.letras.mus.br/aerosmith/,rock and roll
https://www.letras.mus.br/ac-dc/,hard rock
https://www.letras.mus.br/amy-winehouse/,soul
https://www.letras.mus.br/aurora/,indie
https://www.letras.mus.br/billie-eilish/,pop
https://www.letras.mus.br/beyonce/,pop
https://www.letras.mus.br/the-beatles/,rock and roll
https://www.letras.mus.br/bruno-mars/,pop
https://www.letras.mus.br/bob-marley/,reggae
https://www.letras.mus.br/bon-jovi/,rock and roll
https://www.letras.mus.br/black-eyed-peas/,eletronica
https://www.letras.mus.br/black-sabbath/,heavy metal
https://www.letras.mus.br/bethel-music/,gospel
https://www.letras.mus.br/coldplay/,pop rock
https://www.letras.mus.br/camila-cabello/,pop
https://www.letras.mus.br/the-chainsmokers/,eletronica
https://www.letras.mus.br/calvin-harris/,eletronica
https://www.letras.mus.br/cardi-b/,hip hop/rap
https://www.letras.mus.br/the-cranberries/,pop rock
https://www.letras.mus.br/demi-lovato/,pop rock
https://www.letras.mus.br/doja-cat/,pop
https://www.letras.mus.br/drake/,hip hop/rap
https://www.letras.mus.br/david-guetta/,eletronica
https://www.letras.mus.br/david-bowie/,pop rock
https://www.letras.mus.br/disturbed/,heavy metal
https://www.letras.mus.br/extreme/,hard rock
https://www.letras.mus.br/fifth-harmony/,pop
https://www.letras.mus.br/foo-fighters/,rock and roll
https://www.letras.mus.br/florence-and-the-machine/,indie
https://www.letras.mus.br/five-finger-death-punch/,heavy metal
https://www.letras.mus.br/guns-n-roses/,hard rock
https://www.letras.mus.br/green-day/,punk rock
https://www.letras.mus.br/gorillaz/,alternativo
https://www.letras.mus.br/hillsong-united/,gospel
https://www.letras.mus.br/hillsong-worship/,gospel
https://www.letras.mus.br/hozier/,alternativo
https://www.letras.mus.br/imagine-dragons/,indie
https://www.letras.mus.br/iron-maiden/,heavy metal
https://www.letras.mus.br/iggy-azalea/,hip hop/rap
https://www.letras.mus.br/the-neighbourhood/,indie
https://www.letras.mus.br/twenty-one-pilots/,alternativo
https://www.letras.mus.br/vance-joy/,folk
